ID,UserLanguage,Age,Gender,Educ,Educ_Mom,Country,Isolation,COVID_Concerns,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,COVID_Compliance,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,Compliance_6
90,BG,45,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Bulgaria,0,6,6,NA,NA,NA,NA,17,NA,6,6,1,2,2,2
91,DA,51,Male,"Some College, short continuing education or equivalent",Up to 12 years of school,Denmark,NA,24,4,4,4,6,6,30,6,6,5,5,6,2,2
92,BG,50,Female,"Some College, short continuing education or equivalent",NA,Bulgaria,0,17,4,3,3,3,4,21,5,6,4,2,3,1,1
93,SAR,18,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Argentina,6,27,4,6,6,6,5,23,5,5,5,3,3,2,2
94,BG,62,Female,"College degree, bachelor, master",College degree,Bulgaria,0,23,5,5,5,5,3,23,4,5,4,2,4,4,4
95,BG,24,Female,"Some College, short continuing education or equivalent",College degree,Bulgaria,2,25,4,5,5,5,6,24,6,6,5,1,2,4,4
97,SAR,52,Male,"Some College, short continuing education or equivalent",Up to 6 years of school,Argentina,0,22,5,5,4,4,4,24,5,6,NA,5,5,3,3
99,RO,31,Female,"College degree, bachelor, master",Some College or equivalent,Romania,2,27,5,6,5,6,5,28,5,6,6,5,3,3,3
100,SAR,37,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,0,28,5,6,5,6,6,30,5,6,5,5,5,4,4
101,BG,26,Female,"College degree, bachelor, master",Some College or equivalent,Bulgaria,0,20,4,5,4,4,3,22,5,6,5,3,1,2,2
102,EN,39,Male,PhD/Doctorate,Some College or equivalent,France,0,20,3,4,3,5,5,26,5,5,5,2,5,4,4
103,SAR,42,Female,"College degree, bachelor, master",Up to 6 years of school,Argentina,4,25,1,6,6,6,6,23,6,6,6,1,1,3,3
105,SME,28,Female,PhD/Doctorate,PhD/Doctorate,United Arab Emirates,1,28,6,6,5,6,5,28,6,6,6,1,3,6,6
106,HR,32,Female,"College degree, bachelor, master",Some College or equivalent,Bosnia and Herzegovina,NA,15,3,3,3,3,3,32,6,6,6,6,6,2,2
107,EN,23,Female,"College degree, bachelor, master",Up to 12 years of school,Germany,1,16,1,5,2,4,4,20,6,3,3,3,1,4,4
108,SV,64,Male,"College degree, bachelor, master",Up to 12 years of school,Sweden,4,17,3,3,3,4,4,21,5,3,3,4,4,2,2
109,HR,32,Female,"College degree, bachelor, master",Up to 12 years of school,Bosnia and Herzegovina,0,25,4,6,6,5,4,30,6,6,6,2,6,4,4
110,FI,39,Male,"Some College, short continuing education or equivalent",Up to 9 years of school,Finland,1,20,3,3,4,5,5,18,5,4,4,1,2,2,2
111,FI,18,Female,Up to 12 years of school,Some College or equivalent,Finland,2,22,2,4,4,6,6,19,5,3,3,4,3,1,1
112,BG,36,Female,Up to 12 years of school,NA,Bulgaria,3,6,1,NA,NA,5,NA,11,NA,NA,4,2,5,NA,NA
114,FI,18,Female,Up to 12 years of school,College degree,Finland,3,20,4,5,4,4,3,24,4,4,4,4,4,4,4
115,FI,18,Female,None,Some College or equivalent,Finland,1,24,5,6,6,4,3,25,5,5,5,5,4,1,1
116,FI,18,Female,None,College degree,Finland,2,17,4,4,4,3,2,23,6,4,3,4,5,1,1
117,FI,18,Female,Up to 12 years of school,College degree,Finland,2,23,3,5,5,5,5,21,4,3,5,3,4,2,2
118,FI,18,Female,None,College degree,Finland,3,22,4,5,3,5,5,22,4,5,3,5,4,1,1
119,FI,18,Female,Up to 12 years of school,College degree,Finland,3,15,2,2,2,4,5,25,5,5,3,6,5,1,1
120,FI,18,Female,Up to 12 years of school,Some College or equivalent,Finland,2,26,3,6,6,6,5,20,5,4,4,2,2,3,3
123,FI,19,Female,Up to 12 years of school,College degree,Finland,2,20,3,4,4,5,4,26,5,5,4,6,4,2,2
124,FI,18,Female,Up to 12 years of school,College degree,Finland,0,23,3,5,5,5,5,21,5,5,3,3,3,2,2
125,SAR,38,Female,"Some College, short continuing education or equivalent",Up to 9 years of school,Argentina,0,27,6,5,5,6,5,30,6,6,6,3,5,4,4
126,FI,18,Female,NA,NA,Finland,NA,15,2,2,2,4,5,25,6,5,4,3,5,2,2
127,FI,18,Female,None,College degree,Finland,2,19,2,2,3,6,6,22,5,4,3,4,5,1,1
128,EN,34,Female,"College degree, bachelor, master",Some College or equivalent,Denmark,4,20,4,4,4,4,4,21,5,4,4,3,4,1,1
129,BG,47,Female,"College degree, bachelor, master",None,Bulgaria,0,17,4,4,3,4,2,24,5,5,5,2,5,2,2
